Prueba,Eje x,Eje y,Eje z
269,-60.61,-23.56,-123.11
270,-59.02,-24.96,-119.69
271,-60.85,-24.9,-115.05
272,-63.54,-23.62,-110.66
273,-68.97,-21.67,-105.9
274,-83.98,-20.39,-103.52
275,-91.92,-24.17,-107.48
276,-83.56,-30.52,-114.87
277,-73.36,-35.95,-120.85
278,-71.04,-39.67,-123.66
279,-72.63,-42.24,-124.08
280,-73.24,-43.03,-123.05
281,-74.22,-44.13,-122.19
282,-71.9,-47.24,-121.77
283,-58.47,-51.39,-120.73
284,-42.3,-54.26,-116.82
285,-37.23,-51.76,-108.58
286,-31.19,-42.05,-99.91
287,-21.79,-29.42,-91.67
288,-16.17,-22.16,-85.02
289,-14.95,-22.4,-80.75
290,-18.43,-24.78,-79.41
291,-20.51,-27.4,-80.44
292,-23.62,-29.54,-80.32
293,-27.95,-30.76,-77.7
294,-31.25,-29.3,-72.75
295,-30.21,-26.73,-68.05
296,-24.6,-23.19,-65.31
297,-19.9,-18.92,-62.74
298,-10.5,-15.26,-60.24
299,5.43,-13.49,-57.43
300,17.09,-11.17,-53.71
301,12.76,-7.08,-49.01
302,-3.54,-1.95,-41.26
303,-10.5,1.34,-32.53
304,-6.16,2.99,-24.41
305,3.3,2.87,-16.85
306,12.57,2.87,-9.4
307,18.62,3.91,-1.95
308,23.13,4.88,6.29
309,29.66,5.68,14.22
310,34.85,6.53,21.61
311,35.83,7.45,28.5
312,36.13,8.18,34.18
313,37.54,8.36,38.27
314,34.24,9.16,42.85
315,28.69,11.41,48.22
316,26.92,14.77,52.8
317,26.55,18.43,57.31
318,22.58,20.75,62.5
319,17.15,21.67,68.12
320,15.69,21.61,73.67
321,24.23,20.94,79.22
322,38.64,20.2,85.27
323,49.07,19.29,90.52
324,54.87,18.74,94.73
325,59.14,18.19,97.47
326,61.58,17.64,99.91
327,64.58,17.09,101.32
328,66.65,17.21,102.36
329,63.78,19.53,103.7
330,53.22,22.46,106.63
331,40.04,23.44,110.78
332,35.46,23.38,114.01
333,39.55,22.77,115.23
334,46.94,21.24,114.75
335,59.2,20.69,114.81
336,71.35,22.16,116.76
337,75.62,24.6,120.24
338,72.2,27.16,125.31
339,66.41,29.24,131.04
340,58.23,30.15,134.46
341,46.81,29.79,133.85
342,38.39,28.2,128.78
343,30.88,27.04,119.51
344,12.63,27.1,109.13
345,-14.04,29.72,101.87
346,-33.33,35.1,99.3
347,-34.12,38.15,104.98
348,-17.15,40.89,116.03
349,5.25,42.3,123.47
350,29.79,38.27,122.74
351,63.29,25.94,113.28
352,104.86,10.5,97.41
353,136.47,-1.46,82.82
354,144.9,-5.62,76.66
355,121.46,0.37,81.79
356,88.13,11.29,93.32
357,60.85,21.79,104.86
358,31.8,32.47,115.3
359,2.75,40.77,124.88
360,-15.44,44.07,130.43
361,-18.98,43.95,130.49
362,-7.45,44.07,125.43
363,16.48,43.76,117.8
364,48.03,41.14,111.08
365,69.03,36.5,107.3
366,80.51,29.97,106.26
367,86.36,25.76,108.34
368,87.71,27.1,113.1
369,76.29,34.55,121.52
370,46.57,44.19,133.79
371,15.2,51.15,146.24
372,-2.99,54.44,154.36
373,-8.12,54.26,155.21
374,-4.15,49.26,148.8
375,6.04,39.61,137.7
376,25.63,28.81,125.24
377,58.84,19.78,114.69
378,94.36,13.85,109.01
379,112.06,14.65,112.24
380,98.39,22.03,123.05
381,64.27,32.23,136.9
382,29.85,41.26,149.66
383,11.78,44.8,156.01
384,6.9,40.71,152.4
385,10.01,30.4,139.89
386,29.91,17.33,122.74
387,58.59,4.46,105.9
388,79.77,-3.23,94.42
389,83.98,-3.48,90.76
390,72.33,3.23,94.24
391,46.94,12.33,103.21
392,26.61,18.43,112.98
393,29.36,18.31,117.74
394,44.13,11.23,116.46
395,50.78,1.22,111.33
396,52.61,-8.42,104.31
397,50.29,-13.31,98.33
398,52.73,-12.27,96.01
399,52.37,-7.81,97.35
400,41.08,-3.85,100.04
401,26.92,-0.85,100.28
402,18.37,0.67,97.11
403,12.51,-2.2,92.04
404,10.01,-9.95,83.44
405,30.46,-23.07,70.74
406,67.63,-39.18,54.5
407,109.92,-57.43,35.22
408,171.75,-71.9,18.37
409,252.44,-77.15,10.8
410,306.34,-73.36,10.31
411,301.33,-64.82,14.1
412,256.96,-50.48,20.14
413,175.11,-32.04,28.32
414,87.65,-10.86,36.19
415,21.73,4.09,39.31
416,-20.2,11.84,34.48
417,-37.72,16.78,25.02
418,-34.67,18.01,11.23
419,-23.5,18.86,-5.92
420,-9.22,19.04,-24.84
421,10.5,18.55,-42.48
422,24.78,17.94,-52.67
423,30.52,16.72,-56.82
424,34.85,15.14,-60.67
425,32.35,16.54,-63.9
426,15.93,18.98,-64.03
427,-2.2,19.84,-65.37
428,-7.63,22.28,-67.75
429,-10.19,24.23,-70.86
430,-25.76,24.6,-75.13
431,-43.88,26.67,-79.1
432,-57.37,28.5,-84.11
