Prueba,Eje x,Eje y,Eje z
408,7.69,-51.39,-6.35
409,7.69,-48.95,-5.31
410,4.15,-44.74,-3.6
411,0.92,-40.28,-2.81
412,-5.92,-38.51,-2.56
413,-16.6,-37.05,-3.3
414,-24.11,-37.72,-5.49
415,-23.44,-43.03,-10.93
416,-21.61,-48.65,-17.09
417,-21.97,-50.54,-22.71
418,-27.16,-48.83,-25.09
419,-32.96,-43.95,-23.38
420,-37.6,-37.35,-22.22
421,-42.24,-30.94,-22.46
422,-41.38,-28.69,-25.76
423,-41.14,-29.85,-32.41
424,-41.56,-33.81,-41.14
425,-37.6,-38.88,-47.61
426,-36.19,-41.38,-49.99
427,-37.66,-39.73,-48.95
428,-38.64,-33.94,-47.49
429,-41.56,-26.67,-46.45
430,-53.04,-15.87,-42.6
431,-65.25,-9.16,-40.16
432,-70.19,-7.81,-46.33
433,-67.69,-11.6,-61.4
434,-68.42,-14.95,-77.45
435,-69.7,-17.09,-88.13
436,-68.05,-20.63,-92.96
437,-68.18,-23.5,-93.08
438,-66.65,-23.56,-89.29
439,-67.63,-22.16,-84.66
440,-70.5,-19.96,-83.19
441,-71.47,-17.03,-86.85
442,-70.86,-13.24,-93.32
443,-69.27,-9.77,-99.43
444,-71.66,-7.39,-102.72
445,-73.43,-5.19,-103.45
446,-77.45,-0.55,-103.39
447,-85.82,5.31,-104.0
448,-93.26,9.34,-107.97
449,-90.33,7.63,-118.29
450,-81.54,1.34,-130.13
451,-67.63,-5.37,-138.31
452,-47.0,-8.12,-142.94
453,-29.79,-3.6,-140.56
454,-26.67,6.41,-129.58
455,-32.17,20.14,-115.78
456,-43.4,32.53,-104.06
457,-57.5,39.61,-98.45
458,-60.06,39.67,-101.75
459,-55.91,35.1,-106.08
460,-53.04,26.67,-115.78
461,-53.47,18.98,-121.22
462,-55.48,11.84,-118.71
463,-67.57,7.51,-111.82
464,-72.88,6.04,-106.32
465,-70.92,7.2,-102.66
466,-59.33,12.15,-101.68
467,-48.89,20.32,-102.48
468,-33.33,27.83,-105.53
469,-18.92,33.02,-106.99
470,-9.64,36.5,-105.22
471,-7.57,39.18,-101.07
472,-12.02,41.75,-96.68
473,-24.23,44.56,-92.1
474,-28.32,44.56,-91.37
475,-18.25,40.65,-94.85
476,-5.86,35.4,-98.51
477,5.13,29.54,-100.71
478,16.24,25.21,-102.6
479,22.16,23.8,-102.72
480,17.82,24.96,-98.82
481,5.74,27.53,-91.49
482,-6.1,32.47,-83.44
483,-6.29,37.96,-77.21
484,1.53,43.4,-73.43
485,14.71,47.18,-72.94
486,33.14,46.26,-76.29
487,46.08,43.09,-79.47
488,53.59,41.32,-79.96
489,57.25,41.44,-77.27
490,54.38,43.21,-73.79
491,47.12,45.47,-70.68
492,40.59,46.88,-67.87
493,35.22,46.63,-64.7
494,30.88,46.51,-60.3
495,31.68,48.22,-55.73
496,40.47,49.38,-51.94
497,48.03,45.9,-51.09
498,53.1,42.54,-52.19
499,57.62,41.08,-52.06
500,58.41,38.45,-50.35
501,58.78,37.17,-47.12
502,55.48,37.66,-43.95
503,46.81,37.84,-40.04
504,33.94,38.02,-33.2
505,20.94,37.41,-28.44
506,17.58,32.96,-29.17
507,24.9,25.21,-30.76
508,42.36,15.75,-34.12
509,62.74,7.39,-37.84
510,82.46,0.85,-39.12
511,95.4,-2.56,-36.68
512,99.85,-4.03,-33.14
513,98.88,-4.15,-28.14
514,89.23,-3.3,-21.55
515,80.26,-2.26,-16.3
516,77.64,-1.28,-13.0
517,71.35,-0.61,-9.03
518,65.55,-1.4,-6.47
519,64.33,-3.23,-4.58
520,62.07,-5.8,-1.65
521,53.89,-6.04,2.93
522,50.96,-5.13,8.06
523,58.9,-5.19,13.55
524,70.56,-6.71,18.19
525,77.76,-6.96,22.4
526,82.58,-6.1,25.82
527,86.49,-5.98,28.75
528,89.17,-7.14,31.49
529,90.27,-7.69,33.2
530,87.1,-7.81,34.55
531,80.75,-8.18,35.46
532,74.4,-8.24,36.07
533,67.93,-9.03,36.07
534,63.23,-11.29,36.25
535,57.13,-12.7,37.35
536,50.9,-12.88,40.1
537,45.65,-12.51,44.49
538,41.87,-12.33,50.11
539,41.32,-12.02,56.7
540,45.23,-13.06,61.89
541,50.66,-14.65,65.19
542,56.4,-16.54,66.53
543,62.19,-19.84,65.0
544,63.35,-23.38,62.07
545,60.49,-26.67,61.28
546,53.89,-28.69,64.45
547,44.31,-28.81,70.25
548,36.25,-27.1,77.45
549,32.17,-24.6,84.11
550,29.6,-21.36,89.23
551,27.77,-17.7,92.77
552,26.92,-17.52,92.96
553,29.91,-21.61,90.03
554,34.91,-26.06,85.08
555,45.78,-32.1,78.67
556,49.32,-37.6,73.55
557,47.91,-41.26,69.89
558,47.79,-42.97,66.35
559,50.54,-44.68,63.96
560,50.84,-45.17,65.31
561,47.85,-43.4,68.42
562,43.95,-40.71,71.23
563,40.65,-38.94,72.27
564,39.37,-38.02,71.66
565,35.03,-36.8,70.43
566,34.61,-36.01,69.34
567,41.44,-35.95,68.79
568,44.8,-36.32,72.45
569,40.77,-37.48,82.15
570,27.65,-35.71,94.67
571,11.29,-32.29,104.61
572,0.18,-30.76,110.53
573,-7.14,-30.09,112.18
574,-7.81,-31.86,108.64
575,-2.08,-33.57,101.99
576,6.29,-34.24,95.09
577,17.7,-35.77,88.56
578,26.98,-37.84,83.13
579,29.72,-38.88,79.22
580,31.37,-39.43,77.09
581,34.48,-40.41,75.81
582,35.16,-41.87,75.13
583,31.07,-42.18,75.5
584,21.55,-41.26,74.95
585,11.47,-41.63,73.06
586,2.56,-42.11,69.7
587,-3.48,-42.66,65.37
588,-6.16,-45.04,60.3
589,-7.93,-48.89,54.57
590,-5.31,-53.04,49.32
591,1.04,-56.03,47.36
592,4.58,-56.46,50.42
593,1.4,-53.16,56.64
594,-6.16,-47.97,64.39
595,-16.72,-41.81,69.46
596,-23.5,-38.21,67.38
597,-15.81,-40.1,57.86
598,2.81,-47.55,43.7
599,17.82,-54.32,31.8
600,21.3,-56.76,26.12
601,17.15,-57.19,25.45
602,12.82,-56.03,27.34
603,12.27,-53.71,29.36
604,6.29,-50.05,32.96
605,-7.2,-44.86,38.7
606,-19.84,-39.25,44.13
607,-28.93,-35.03,48.52
608,-32.59,-33.26,50.6
609,-29.24,-33.69,46.14
610,-17.33,-37.66,35.16
611,-1.16,-42.79,23.44
612,11.84,-46.26,17.03
613,16.78,-46.94,16.78
614,17.15,-45.17,20.02
615,18.49,-43.46,24.29
616,21.24,-41.63,29.05
617,17.7,-37.11,35.58
618,7.26,-31.68,42.18
619,3.05,-27.89,44.43
620,3.23,-24.9,43.95
621,6.96,-22.64,42.18
622,14.53,-22.4,38.94
623,17.15,-23.38,35.64
624,12.33,-27.04,32.1
625,8.91,-33.57,28.32
626,5.98,-39.49,25.88
627,5.13,-42.6,26.73
628,5.07,-40.65,33.2
629,-3.66,-31.68,45.17
630,-19.17,-18.98,54.2
631,-23.5,-10.86,53.04
632,-8.48,-10.93,41.63
633,4.76,-19.1,24.29
634,8.24,-30.7,3.97
635,4.64,-42.54,-12.94
636,-0.67,-48.4,-17.82
637,-18.19,-48.95,-14.04
638,-33.14,-44.25,-6.71
639,-37.84,-33.33,2.87
640,-43.15,-17.09,14.59
641,-52.12,-0.18,22.28
642,-55.05,13.06,21.36
643,-41.56,17.4,12.45
644,-22.58,11.47,-1.1
645,-18.92,-0.85,-18.8
646,-27.28,-10.74,-40.65
647,-28.08,-15.56,-63.42
648,-26.12,-19.47,-79.65
649,-27.16,-16.48,-85.88
650,-21.06,-9.4,-88.13
651,-15.75,-0.06,-86.73
652,-26.98,12.63,-77.51
653,-51.21,23.13,-65.73
654,-65.8,27.1,-64.7
655,-67.93,25.15,-75.01
656,-70.86,23.62,-85.94
